region_1,region_1,exchange,timestep_1,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
,,h2Grid,2030,,lifeExc,50,,,,
,,h2Grid,2040,,lifeExc,50,,,,
FR,CH,h2Grid,2030,503.9099321,capaExcResi,0,costExpExc,352.7369524,costOprExc,88.18423811
FR,BE,h2Grid,2030,504.7455332,capaExcResi,0,costExpExc,353.3218732,costOprExc,88.3304683
FR,DE,h2Grid,2030,822.6849612,capaExcResi,0,costExpExc,575.8794728,costOprExc,143.9698682
BE,NL,h2Grid,2030,165.3403034,capaExcResi,0,costExpExc,115.7382123,costOprExc,28.93455309
BE,DE,h2Grid,2030,376.9285961,capaExcResi,0,costExpExc,263.8500172,costOprExc,65.96250431
NL,DE,h2Grid,2030,347.2107385,capaExcResi,0,costExpExc,243.0475169,costOprExc,60.76187923
DE,CH,h2Grid,2030,524.2526596,capaExcResi,0,costExpExc,366.9768617,costOprExc,91.74421542
DE,AT,h2Grid,2030,497.1884267,capaExcResi,0,costExpExc,348.0318987,costOprExc,87.00797467
CH,AT,h2Grid,2030,405.5508781,capaExcResi,0,costExpExc,283.8856147,costOprExc,70.97140367
FR,CH,h2Grid,2040,503.9099321,capaExcResi,0,costExpExc,352.7369524,costOprExc,77.16120835
FR,BE,h2Grid,2040,504.7455332,capaExcResi,0,costExpExc,353.3218732,costOprExc,77.28915976
FR,DE,h2Grid,2040,822.6849612,capaExcResi,0,costExpExc,575.8794728,costOprExc,125.9736347
BE,NL,h2Grid,2040,165.3403034,capaExcResi,0,costExpExc,115.7382123,costOprExc,25.31773395
BE,DE,h2Grid,2040,376.9285961,capaExcResi,0,costExpExc,263.8500172,costOprExc,57.71719127
NL,DE,h2Grid,2040,347.2107385,capaExcResi,0,costExpExc,243.0475169,costOprExc,53.16664433
DE,CH,h2Grid,2040,524.2526596,capaExcResi,0,costExpExc,366.9768617,costOprExc,80.27618849
DE,AT,h2Grid,2040,497.1884267,capaExcResi,0,costExpExc,348.0318987,costOprExc,76.13197784
CH,AT,h2Grid,2040,405.5508781,capaExcResi,0,costExpExc,283.8856147,costOprExc,62.09997821
FR,CH,,,503.9099321,lossExc,0.01724141,,,,
FR,BE,,,504.7455332,lossExc,0.01727,,,,
FR,DE,,,822.6849612,lossExc,0.02814838,,,,
BE,NL,,,165.3403034,lossExc,0.005657162,,,,
BE,DE,,,376.9285961,lossExc,0.01289671,,,,
NL,DE,,,347.2107385,lossExc,0.011879906,,,,
DE,CH,,,524.2526596,lossExc,0.017937441,,,,
DE,AT,,,497.1884267,lossExc,0.017011432,,,,
CH,AT,,,405.5508781,lossExc,0.013876029,,,,
FR,CH,,,503.9099321,lossExc,0.01724141,,,,
FR,BE,,,504.7455332,lossExc,0.01727,,,,
FR,DE,,,822.6849612,lossExc,0.02814838,,,,
BE,NL,,,165.3403034,lossExc,0.005657162,,,,
BE,DE,,,376.9285961,lossExc,0.01289671,,,,
NL,DE,,,347.2107385,lossExc,0.011879906,,,,
DE,CH,,,524.2526596,lossExc,0.017937441,,,,
DE,AT,,,497.1884267,lossExc,0.017011432,,,,
CH,AT,,,405.5508781,lossExc,0.013876029,,,,
