timestep_2,carrier_1,region_4,parameter,value,comment,source
2040,spaceHeat,01ES,capaDem,2.523,,
2040,spaceHeat,02ES,capaDem,2.557,,
2040,spaceHeat,03ES,capaDem,1.704,,
2040,spaceHeat,04ES,capaDem,2.798,,
2040,spaceHeat,05ES,capaDem,1.198,,
2040,spaceHeat,06ES,capaDem,6.289,,
2040,spaceHeat,07ES,capaDem,5.931,,
2040,spaceHeat,08ES,capaDem,2.138,,
2040,spaceHeat,09ES,capaDem,3.796,,
2040,spaceHeat,10ES,capaDem,2.324,,
2040,spaceHeat,11ES,capaDem,6.151,,
2040,spaceHeat,12PT,capaDem,3.024,,
2040,spaceHeat,13PT,capaDem,2.444,,
2040,spaceHeat,14FR,capaDem,10.295,,
2040,spaceHeat,15FR,capaDem,6.046,,
2040,spaceHeat,16FR,capaDem,9.884,,
2040,spaceHeat,17FR,capaDem,9.015,,
2040,spaceHeat,18FR,capaDem,7.697,,
2040,spaceHeat,19FR,capaDem,7.286,,
2040,spaceHeat,20FR,capaDem,7.291,,
2040,spaceHeat,21FR,capaDem,9.927,,
2040,spaceHeat,22FR,capaDem,4.286,,
2040,spaceHeat,23FR,capaDem,24.196,,
2040,spaceHeat,24FR,capaDem,4.208,,
2040,spaceHeat,25FR,capaDem,11.612,,
2040,spaceHeat,26FR,capaDem,15.764,,
2040,spaceHeat,27FR,capaDem,1.881,,
2040,spaceHeat,28BE,capaDem,32.206,,
2040,spaceHeat,29LU,capaDem,1.8,,
2040,spaceHeat,30NL,capaDem,34.031,,
2040,spaceHeat,31DE,capaDem,32.539,,
2040,spaceHeat,32DE,capaDem,20.162,,
2040,spaceHeat,33DE,capaDem,42.545,,
2040,spaceHeat,34DE,capaDem,20.308,,
2040,spaceHeat,35DE,capaDem,27.769,,
2040,spaceHeat,36DE,capaDem,27.506,,
2040,spaceHeat,37DE,capaDem,32.832,,
2040,spaceHeat,38DK,capaDem,8.228,,
2040,spaceHeat,39CZ,capaDem,9.576,,
2040,spaceHeat,40CZ,capaDem,7.506,,
2040,spaceHeat,41PL,capaDem,11.176,,
2040,spaceHeat,42PL,capaDem,8.025,,
2040,spaceHeat,43PL,capaDem,10.868,,
2040,spaceHeat,44PL,capaDem,9.897,,
2040,spaceHeat,45PL,capaDem,7.526,,
2040,spaceHeat,46SK,capaDem,6.702,,
2040,spaceHeat,47CH,capaDem,15.566,,
2040,spaceHeat,48CH,capaDem,1.933,,
2040,spaceHeat,49AT,capaDem,4.263,,
2040,spaceHeat,50AT,capaDem,5.965,,
2040,spaceHeat,51AT,capaDem,7.884,,
2040,spaceHeat,52IT,capaDem,67.499,,
2040,spaceHeat,53IT,capaDem,12.772,,
2040,spaceHeat,54IT,capaDem,24.594,,
2040,spaceHeat,55IT,capaDem,13.012,,
2040,spaceHeat,56IT,capaDem,7.997,,
2040,spaceHeat,57SI,capaDem,3.138,,
2040,spaceHeat,58HU,capaDem,18.615,,
2040,spaceHeat,59RO,capaDem,3.938,,
2040,spaceHeat,60RO,capaDem,5.551,,
2040,spaceHeat,61RO,capaDem,4.503,,
2040,spaceHeat,62HR,capaDem,5.681,,
2040,spaceHeat,63BA,capaDem,2.735,,
2040,spaceHeat,64ME,capaDem,0.506,,
2040,spaceHeat,65RS,capaDem,5.038,,
2040,spaceHeat,66BG,capaDem,6.615,,
2040,spaceHeat,67MK,capaDem,1.835,,
2040,spaceHeat,68GR,capaDem,3.923,,
2040,spaceHeat,69GR,capaDem,5.642,,
2040,spaceHeat,70AL,capaDem,2.34,,
2040,spaceHeat,72DK,capaDem,6.517,,
2040,spaceHeat,73EE,capaDem,2.575,,
2040,spaceHeat,74FI,capaDem,2.053,,
2040,spaceHeat,75FI,capaDem,12.672,,
2040,spaceHeat,77LT,capaDem,3.88,,
2040,spaceHeat,78LV,capaDem,3.678,,
2040,spaceHeat,79NO,capaDem,0.963,,
2040,spaceHeat,80NO,capaDem,2.236,,
2040,spaceHeat,81NO,capaDem,3.476,,
2040,spaceHeat,82NO,capaDem,5.951,,
2040,spaceHeat,83NO,capaDem,1.846,,
2040,spaceHeat,84NO,capaDem,1.761,,
2040,spaceHeat,85NO,capaDem,0.246,,
2040,spaceHeat,86SE,capaDem,1.065,,
2040,spaceHeat,87SE,capaDem,3.366,,
2040,spaceHeat,88SE,capaDem,22.644,,
2040,spaceHeat,89SE,capaDem,6.109,,
2040,spaceHeat,90UK,capaDem,39.037,,
2040,spaceHeat,91UK,capaDem,8.727,,
2040,spaceHeat,92UK,capaDem,40.113,,
2040,spaceHeat,93UK,capaDem,11.277,,
2040,spaceHeat,94UK,capaDem,6.558,,
2040,spaceHeat,95UK,capaDem,3.355,,
2040,spaceHeat,96IE,capaDem,6.177,,
2040,spaceHeat,98IT,capaDem,3.035,,
2040,spaceHeat,99FR,capaDem,0.521,,
